subject	acquisition	rows	columns	has_stage_hum	has_stage_ai	duration_values	onset_min_sec	onset_max_sec	coverage_end_sec	recording_duration_sec	unlabeled_tail_sec	sampling_frequency_hz	channel_rows	stage_hum_disconnection_epochs	stage_hum_missing	stage_ai_negative_epochs
sub-21	headband	1043	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	31260.0	31290.0	31299.0	9.0	256.0	2			5
sub-21	psg	1043	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	31260.0	31290.0	31299.0	9.0	256.0	11	0	0	0
sub-22	headband	1034	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30990.0	31020.0	31037.0	17.0	256.0	9			6
sub-22	psg	1034	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30990.0	31020.0	31037.0	17.0	256.0	8	0	0	0
sub-23	headband	1119	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	33540.0	33570.0	33598.0	28.0	256.0	9			110
sub-23	psg	1119	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	33540.0	33570.0	33598.0	28.0	256.0	14	0	0	0
sub-24	headband	933	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27960.0	27990.0	28002.0	12.0	256.0	9			56
sub-24	psg	933	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27960.0	27990.0	28002.0	12.0	256.0	14	0	0	14
sub-25	headband	1083	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	32460.0	32490.0	32506.0	16.0	256.0	9			57
sub-25	psg	1083	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	32460.0	32490.0	32506.0	16.0	256.0	14	0	0	0
sub-26	headband	972	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29130.0	29160.0	29183.0	23.0	256.0	9			0
sub-26	psg	972	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29130.0	29160.0	29183.0	23.0	256.0	14	0	0	0
sub-27	headband	952	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28530.0	28560.0	28561.0	1.0	256.0	2			1
sub-27	psg	952	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28530.0	28560.0	28561.0	1.0	256.0	14	0	0	0
sub-28	headband	859	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25740.0	25770.0	25774.0	4.0	256.0	2			27
sub-28	psg	859	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25740.0	25770.0	25774.0	4.0	256.0	14	0	0	4
sub-29	headband	1108	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	33210.0	33240.0	33244.0	4.0	256.0	2			151
sub-29	psg	1108	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	33210.0	33240.0	33244.0	4.0	256.0	14	0	0	0
sub-30	headband	834	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	24990.0	25020.0	25032.0	12.0	256.0	9			1
sub-30	psg	834	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	24990.0	25020.0	25032.0	12.0	256.0	14	0	0	0
sub-31	headband	850	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25470.0	25500.0	25523.0	23.0	256.0	9			1
sub-31	psg	850	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25470.0	25500.0	25523.0	23.0	256.0	14	0	0	0
sub-32	headband	832	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	24930.0	24960.0	24978.0	18.0	256.0	9			1
sub-32	psg	832	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	24930.0	24960.0	24978.0	18.0	256.0	14	0	0	0
sub-33	headband	876	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26250.0	26280.0	26301.0	21.0	256.0	9			0
sub-33	psg	876	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26250.0	26280.0	26301.0	21.0	256.0	14	0	0	0
sub-34	headband	939	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28140.0	28170.0	28183.0	13.0	256.0	9			34
sub-34	psg	939	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28140.0	28170.0	28183.0	13.0	256.0	11	21	0	16
sub-35	headband	876	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26250.0	26280.0	26281.0	1.0	256.0	9			36
sub-35	psg	876	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26250.0	26280.0	26281.0	1.0	256.0	14	10	0	10
sub-36	headband	895	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26820.0	26850.0	26850.0	0.0	256.0	9			9
sub-36	psg	895	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26820.0	26850.0	26850.0	0.0	256.0	14	0	0	0
sub-37	headband	857	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25680.0	25710.0	25714.0	4.0	256.0	9			0
sub-37	psg	857	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25680.0	25710.0	25714.0	4.0	256.0	14	0	0	0
sub-38	headband	851	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25500.0	25530.0	25550.0	20.0	256.0	9			1
sub-38	psg	851	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25500.0	25530.0	25550.0	20.0	256.0	14	0	0	0
sub-39	headband	907	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27180.0	27210.0	27213.0	3.0	256.0	9			1
sub-39	psg	907	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27180.0	27210.0	27213.0	3.0	256.0	14	7	0	6
sub-40	headband	833	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	24960.0	24990.0	25007.0	17.0	256.0	9			0
sub-40	psg	833	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	24960.0	24990.0	25007.0	17.0	256.0	14	12	0	10
sub-41	headband	916	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27450.0	27480.0	27502.0	22.0	256.0	9			0
sub-41	psg	916	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27450.0	27480.0	27502.0	22.0	256.0	14	0	0	0
sub-42	headband	894	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26790.0	26820.0	26840.0	20.0	256.0	9			0
sub-42	psg	894	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26790.0	26820.0	26840.0	20.0	256.0	14	0	0	26
sub-43	headband	840	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25170.0	25200.0	25205.0	5.0	256.0	9			4
sub-43	psg	840	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25170.0	25200.0	25205.0	5.0	256.0	14	15	0	14
sub-44	headband	850	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25470.0	25500.0	25525.0	25.0	256.0	9			1
