subject	acquisition	rows	columns	has_stage_hum	has_stage_ai	duration_values	onset_min_sec	onset_max_sec	coverage_end_sec	recording_duration_sec	unlabeled_tail_sec	sampling_frequency_hz	channel_rows	stage_hum_disconnection_epochs	stage_hum_missing	stage_ai_negative_epochs
sub-87	headband	957	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28680.0	28710.0	28739.0	29.0	256.0	9			1
sub-87	psg	957	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28680.0	28710.0	28739.0	29.0	256.0	11	0	0	0
sub-88	headband	897	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26880.0	26910.0	26915.0	5.0	256.0	9			136
sub-88	psg	897	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26880.0	26910.0	26915.0	5.0	256.0	11	0	0	0
sub-89	headband	974	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29190.0	29220.0	29241.0	21.0	256.0	9			3
sub-89	psg	974	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29190.0	29220.0	29241.0	21.0	256.0	11	0	0	0
sub-90	headband	1040	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	31170.0	31200.0	31203.0	3.0	256.0	9			59
sub-90	psg	1040	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	31170.0	31200.0	31203.0	3.0	256.0	11	8	0	5
sub-91	headband	1021	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30600.0	30630.0	30654.0	24.0	256.0	9			0
sub-91	psg	1021	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30600.0	30630.0	30654.0	24.0	256.0	11	0	0	0
sub-92	headband	988	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29610.0	29640.0	29660.0	20.0	256.0	9			0
sub-92	psg	988	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29610.0	29640.0	29660.0	20.0	256.0	11	0	0	1
sub-93	headband	878	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26310.0	26340.0	26369.0	29.0	256.0	9			0
sub-93	psg	878	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26310.0	26340.0	26369.0	29.0	256.0	11	0	0	0
sub-94	headband	1005	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30120.0	30150.0	30159.0	9.0	256.0	9			21
sub-94	psg	1005	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30120.0	30150.0	30159.0	9.0	256.0	11	0	0	0
sub-95	headband	983	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29460.0	29490.0	29502.0	12.0	256.0	9			14
sub-95	psg	983	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29460.0	29490.0	29502.0	12.0	256.0	11	0	0	1
sub-96	headband	971	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29100.0	29130.0	29141.0	11.0	256.0	9			48
sub-96	psg	971	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29100.0	29130.0	29141.0	11.0	256.0	11	0	0	0
sub-97	headband	1085	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	32520.0	32550.0	32554.0	4.0	256.0	9			48
sub-97	psg	1085	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	32520.0	32550.0	32554.0	4.0	256.0	11	0	0	0
sub-98	headband	901	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27000.0	27030.0	27032.0	2.0	256.0	9			0
sub-98	psg	901	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27000.0	27030.0	27032.0	2.0	256.0	11	0	0	0
sub-99	headband	1068	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	32010.0	32040.0	32064.0	24.0	256.0	9			28
sub-99	psg	1068	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	32010.0	32040.0	32064.0	24.0	256.0	11	9	0	8
sub-100	headband	996	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29850.0	29880.0	29898.0	18.0	256.0	9			0
sub-100	psg	996	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29850.0	29880.0	29898.0	18.0	256.0	11	0	0	0
sub-101	headband	935	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28020.0	28050.0	28071.0	21.0	256.0	9			2
sub-101	psg	935	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28020.0	28050.0	28071.0	21.0	256.0	11	0	0	0
sub-102	headband	963	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28860.0	28890.0	28910.0	20.0	256.0	9			0
sub-102	psg	963	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28860.0	28890.0	28910.0	20.0	256.0	11	0	0	1
sub-103	headband	858	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25710.0	25740.0	25743.0	3.0	256.0	9			2
sub-103	psg	858	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25710.0	25740.0	25743.0	3.0	256.0	16	0	0	4
sub-104	headband	839	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25140.0	25170.0	25170.0	0.0	256.0	9			2
sub-104	psg	839	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25140.0	25170.0	25170.0	0.0	256.0	16	0	0	1
sub-105	headband	973	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29160.0	29190.0	29196.0	6.0	256.0	9			1
sub-105	psg	973	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29160.0	29190.0	29196.0	6.0	256.0	16	8	0	15
sub-106	headband	878	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26310.0	26340.0	26359.0	19.0	256.0	9			2
sub-106	psg	878	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26310.0	26340.0	26359.0	19.0	256.0	16	0	0	0
sub-107	headband	952	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28530.0	28560.0	28577.0	17.0	256.0	9			1
sub-107	psg	952	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28530.0	28560.0	28577.0	17.0	256.0	16	0	0	0
sub-108	headband	1001	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	30000.0	30030.0	30033.0	3.0	256.0	9			13
sub-108	psg	1001	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	30000.0	30030.0	30033.0	3.0	256.0	16	6	0	10
sub-109	headband	843	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25260.0	25290.0	25309.0	19.0	256.0	3			2
sub-109	psg	843	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25260.0	25290.0	25309.0	19.0	256.0	15	0	0	0
sub-110	headband	953	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28560.0	28590.0	28609.0	19.0	256.0	3			16
sub-110	psg	953	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28560.0	28590.0	28609.0	19.0	256.0	16	0	0	0
sub-111	headband	961	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28800.0	28830.0	28848.0	18.0	256.0	3			3
sub-111	psg	961	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28800.0	28830.0	28848.0	18.0	256.0	16	0	0	7
sub-112	headband	919	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27540.0	27570.0	27584.0	14.0	256.0	3			2
sub-112	psg	919	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27540.0	27570.0	27584.0	14.0	256.0	16	0	0	2
sub-113	headband	937	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	28080.0	28110.0	28117.0	7.0	256.0	3			1
sub-113	psg	937	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	28080.0	28110.0	28117.0	7.0	256.0	16	0	0	3
sub-114	headband	933	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	27960.0	27990.0	28013.0	23.0	256.0	3			1
sub-114	psg	933	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	27960.0	27990.0	28013.0	23.0	256.0	16	0	0	2
sub-115	headband	858	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	25710.0	25740.0	25748.0	8.0	256.0	3			1
sub-115	psg	858	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	25710.0	25740.0	25748.0	8.0	256.0	16	6	0	5
sub-116	headband	873	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26160.0	26190.0	26204.0	14.0	256.0	3			2
sub-116	psg	873	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26160.0	26190.0	26204.0	14.0	256.0	16	9	0	40
sub-117	headband	793	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	23760.0	23790.0	23799.0	9.0	256.0	3			5
sub-117	psg	793	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	23760.0	23790.0	23799.0	9.0	256.0	16	0	0	0
sub-118	headband	894	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26790.0	26820.0	26825.0	5.0	256.0	3			1
sub-118	psg	894	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26790.0	26820.0	26825.0	5.0	256.0	16	9	0	8
sub-119	headband	898	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26910.0	26940.0	26961.0	21.0	256.0	3			0
sub-119	psg	898	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26910.0	26940.0	26961.0	21.0	256.0	16	0	0	0
sub-120	headband	789	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	23640.0	23670.0	23671.0	1.0	256.0	3			1
sub-120	psg	789	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	23640.0	23670.0	23671.0	1.0	256.0	16	0	0	0
sub-121	headband	893	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26760.0	26790.0	26801.0	11.0	256.0	3			11
sub-121	psg	893	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26760.0	26790.0	26801.0	11.0	256.0	16	0	0	0
sub-122	headband	876	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26250.0	26280.0	26282.0	2.0	256.0	3			1
sub-122	psg	876	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26250.0	26280.0	26282.0	2.0	256.0	15	0	0	3
sub-123	headband	879	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26340.0	26370.0	26389.0	19.0	256.0	3			1
sub-123	psg	879	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26340.0	26370.0	26389.0	19.0	256.0	15	0	0	0
sub-124	headband	889	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26640.0	26670.0	26672.0	2.0	256.0	9			0
sub-124	psg	889	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26640.0	26670.0	26672.0	2.0	256.0	15	0	0	0
sub-125	headband	977	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	29280.0	29310.0	29331.0	21.0	256.0	9			1
sub-125	psg	977	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	29280.0	29310.0	29331.0	21.0	256.0	16	2	0	0
sub-126	headband	871	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	26100.0	26130.0	26130.0	0.0	256.0	3			21
sub-126	psg	871	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	26100.0	26130.0	26130.0	0.0	256.0	9	0	0	0
sub-127	headband	832	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	24930.0	24960.0	24966.0	6.0	256.0	3			1
sub-127	psg	832	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	24930.0	24960.0	24966.0	6.0	256.0	15	0	0	0
sub-128	headband	821	onset;duration;begsample;endsample;offset;stage_ai	False	True	30	0.0	24600.0	24630.0	24648.0	18.0	256.0	3			0
sub-128	psg	821	onset;duration;begsample;endsample;offset;stage_hum;stage_ai	True	True	30	0.0	24600.0	24630.0	24648.0	18.0	256.0	9	1	0	13
